INFO| 2018-03-21 17:17:01,519| gpyyolo 6735| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:17:33,580| gpyyolo 6783| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:17:33,580| gpyyolo 6783| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:17:35,183| gpyyolo 6783| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:27:08,888| gpyyolo 6982| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:27:35,620| gpyyolo 7009| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:27:35,621| gpyyolo 7009| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:27:37,275| gpyyolo 7009| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:29:29,493| gpyyolo 7036| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:29:29,493| gpyyolo 7036| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:29:31,067| gpyyolo 7036| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:29:58,612| gpyyolo 7092| MainProcess| model.py| [line:15]| init model...
ERROR| 2018-03-21 17:29:58,613| gpyyolo 7092| MainProcess| gpyyolo.py| [line:21]| Wrong params
INFO| 2018-03-21 17:30:03,123| gpyyolo 7114| MainProcess| model.py| [line:15]| init model...
ERROR| 2018-03-21 17:30:03,123| gpyyolo 7114| MainProcess| gpyyolo.py| [line:21]| Wrong params
INFO| 2018-03-21 17:30:09,790| gpyyolo 7133| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:30:13,366| gpyyolo 7152| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:30:13,366| gpyyolo 7152| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:30:14,945| gpyyolo 7152| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:32:21,543| gpyyolo 7193| MainProcess| model.py| [line:15]| init model...
ERROR| 2018-03-21 17:32:21,543| gpyyolo 7193| MainProcess| gpyyolo.py| [line:21]| Wrong params
INFO| 2018-03-21 17:32:29,674| gpyyolo 7212| MainProcess| model.py| [line:15]| init model...
ERROR| 2018-03-21 17:32:29,674| gpyyolo 7212| MainProcess| gpyyolo.py| [line:21]| Wrong params
INFO| 2018-03-21 17:37:02,662| gpyyolo 7304| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:37:04,418| gpyyolo 7323| MainProcess| model.py| [line:15]| init model...
ERROR| 2018-03-21 17:37:04,418| gpyyolo 7323| MainProcess| gpyyolo.py| [line:21]| Wrong params
INFO| 2018-03-21 17:37:20,537| gpyyolo 7349| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:37:22,934| gpyyolo 7368| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:37:29,831| gpyyolo 7387| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:37:32,874| gpyyolo 7406| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:37:32,874| gpyyolo 7406| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:37:34,523| gpyyolo 7406| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:37:51,350| gpyyolo 7431| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:37:51,350| gpyyolo 7431| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:37:52,875| gpyyolo 7431| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:37:56,252| gpyyolo 7450| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:01,734| gpyyolo 7469| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:17,348| gpyyolo 7529| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:19,292| gpyyolo 7548| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:22,764| gpyyolo 7567| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:29,865| gpyyolo 7586| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:33,730| gpyyolo 7605| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:38:33,731| gpyyolo 7605| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:38:35,261| gpyyolo 7605| MainProcess| model.py| [line:24]| init general python yolo model
INFO| 2018-03-21 17:39:02,721| gpyyolo 7669| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:39:09,162| gpyyolo 7691| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:40:55,338| gpyyolo 7825| MainProcess| model.py| [line:15]| init model...
INFO| 2018-03-21 17:40:55,338| gpyyolo 7825| MainProcess| model.py| [line:30]| init frame
INFO| 2018-03-21 17:40:56,801| gpyyolo 7825| MainProcess| model.py| [line:24]| init general python yolo model
